title,year,month,Zmiana względna,Zmiana bezwzględna
Donald Trump,2025,1,"5,559242763945741",297970
Iga Świątek,2025,7,"4,860376569569084",294588
Małgorzata Windsor (księżniczka),2020,12,"5,98074672752364",292822
Państwa posiadające broń jądrową,2022,2,"5,847431409071537",291659
Władysław I Łokietek,2018,1,"11,814145217997202",290448
Katastrofa elektrowni jądrowej w Czarnobylu,2019,6,"7,298528941831796",290024
Rzeź wołyńska,2022,3,"7,362346518370853",287863
Państwa członkowskie NATO,2022,3,"6,412283657999587",287613
Maryla Rodowicz,2021,12,"8,156252773172989",287163
Grupa Wagnera,2023,6,"4,78610666227604",286672
Wybory prezydenckie w Polsce w 2015 roku,2020,6,"5,077478782797507",286242
Łukasz Szumowski,2020,3,"3,8977595584057148",285580
Robert Oppenheimer,2023,8,"6,038529956348815",284437
Grzegorz Krychowiak,2016,6,"8,146521905127695",284178
Donald Tusk,2023,12,"7,933110381731737",283556
Donald Trump,2017,1,"5,337821716572015",283499
Sławomir Mentzen,2025,3,"5,060565039698218",283282
Kamil Stoch,2021,1,"4,261249530142866",282275
Wybory parlamentarne w Polsce w 2015 roku,2019,10,"7,25534252514528",282144
Jan Paweł II,2025,5,"4,466118288996125",282043
Wenezuela,2026,1,"9,598240304422406",281351
Jerzy Urban,2022,10,"10,989769820971867",281232
Melania Trump,2016,11,"6,359619938172809",279380
Elon Musk,2025,1,"7,587412426280688",278801
Marzena Kipiel-Sztuka,2024,6,"5,624746247795268",277938
Jerzy Stuhr,2024,7,"6,648671180788548",277796
Maciej Wąsik,2024,1,"2,6051926252808832",276691
Donald Trump,2020,11,"5,216760053465048",275587
Czesław Kiszczak,2016,2,"5,042573830036224",273669
Diana (księżna Walii),2020,11,"7,450782087233411",270224
Snus,2025,5,"3,9856220138028666",269948
Katastrofa lotu Fuerza Aérea Uruguaya 571,2024,1,"3,1587787175334414",269918
Fernando Santos,2023,1,"4,959321851347778",269580
Sri Lanka,2019,4,"12,202788370903848",269393
Radosław Sikorski,2024,11,"8,187218624078751",268872
Mistrzostwa Europy w piłce nożnej,2024,6,"4,623977766050469",268799
Siły Zbrojne Federacji Rosyjskiej,2022,3,"4,877546201539038",268611
Michalina Wisłocka,2017,1,"5,6211996804739846",268495
Jerzy Kukuczka,2018,1,"8,97656623792384",268216
Wybory prezydenckie w Stanach Zjednoczonych w 2020 roku,2020,11,"4,852740715069601",266810
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2019,2019,9,"2,679336279559453",266378
Konkurs Piosenki Eurowizji 2021,2021,5,"5,0365738582748785",266290
Żołnierze wyklęci,2016,3,"6,264045112474158",266047
Elżbieta II,2018,5,"3,4388680539078047",265998
Senegal,2018,6,"3,356245562145973",264808
Sulejman Wspaniały,2016,2,"4,776668419919479",264267
Michał Probierz,2023,9,"4,753525485483425",263571
Andrzej (książę Yorku),2022,9,"6,569963013459582",261733
Sinéad O’Connor,2023,7,"4,939790585793793",261036
Andora,2021,3,"10,660993146806703",259697
Agnieszka Maciąg,2025,11,"3,6726472084511625",259524
Popek (raper),2016,12,"6,252043801731123",259422
Zdzisław Beksiński,2016,10,"10,444870789409983",257673
Kaja Godek,2020,10,"4,886585966960093",257052
Facebook,2023,6,"4,100765935648609",256953
Łukasz Fabiański,2016,6,"6,908690511963958",256556
Bronisław Cieślak,2021,5,"9,029259868339665",256200
Wojciech Młynarski,2017,3,"6,625535303972097",256049
Gang pruszkowski,2022,1,"9,696934326413196",255923
Strona główna,2015,12,"4,722655765232186",255657
Donald Trump,2017,7,"4,907174534046032",255354
Katastrofa w Czarnobylskiej Elektrowni Jądrowej,2019,6,"6,871527069246834",254904
Grenlandia,2025,1,"9,522964429370372",254887
Zimowe Igrzyska Olimpijskie 2022,2022,2,"4,737479509700782",254603
Agnieszka Holland,2023,9,"8,056985483288711",254131
Anna (księżniczka angielska),2022,9,"5,656326994679059",253369
Prince,2016,4,"7,017660740097434",252912
Margaret Thatcher,2020,11,"8,649406306657356",252460
Karol III,2023,5,"7,3563658079573955",252212
Ołowiane dzieci,2026,2,"3,066173505912169",251100
Eugeniusz Bodo,2016,5,"4,937829867984545",250819
Andrzej Duda,2020,7,"6,688342549811781",250727
Syria,2015,9,"7,700706737422574",250378
Katalonia,2017,10,"4,040597349399058",249655
Narodowe Święto Niepodległości,2017,11,"2,984001631891829",249638
Pandemia grypy A/H1N1 w latach 2009–2010,2020,3,"2,8492526998001115",248169
Chester Bennington,2017,7,"9,105515816072302",248065
Mistrzostwa Świata w Piłce Nożnej 2014,2018,6,"5,486377810666967",247645
Lamine Yamal,2024,7,"8,066336651357291",247132
Benedykt XVI,2025,4,"7,937867057230817",246865
Reprezentacja Polski w piłce nożnej mężczyzn,2018,6,"6,29340123532247",246525
Związek Socjalistycznych Republik Radzieckich,2022,2,"7,533122242483844",245547
Iran,2025,6,"8,583523477212134",244418
Maria Skłodowska-Curie,2017,3,"5,995032600495358",243744
Szymon Hołownia,2020,6,"4,586307711863839",243659
Karol (książę Walii),2021,4,"6,205731391895775",243325
